,hierarchy index
ACAd,0.9405149136095992
ACAv,0.8933228167299946
AId,0.5987675981164711
AIp,0.30133441253651994
AIv,1.0
AUDd,0.24763778713249088
AUDp,0.16660725812026425
AUDpo,0.7558529830704298
FRP,0.7536347245926414
ILA,0.5964192824461552
MOp,0.4666614151788415
MOs,0.8468160164633535
ORBl,0.597983439866936
ORBm,0.6452168888803056
ORBvl,0.8797706716160762
PL,0.6564356149671998
RSPagl,0.5295111201960904
RSPd,0.49471820675264694
RSPv,0.48411308049658364
SSp-bfd,0.3730143674363769
SSp-ll,0.21854673137485867
SSp-m,0.33642136968790637
SSp-n,0.2685464463948801
SSp-tr,0.4527774490225996
SSp-ul,0.2813306630459721
SSs,0.405947874984453
TEa,0.775351281932523
VISa,0.8026181909693809
VISal,0.588219380625749
VISam,0.8242674146915726
VISl,0.39054901681718124
VISli,0.45472747246148276
VISp,0.0
VISpl,0.48178005153744824
VISpm,0.6303242121015837
VISpor,0.752949898694514
VISrl,0.4814086723444762
